workflow_id,ticket_id,agent_name,agent_stage,input_summary,output_summary,confidence_score,recommended_action,auto_resolution_status,escalation_required,human_override,decision_timestamp,processing_time_seconds,workflow_status
WF-700320,TKT-101184,Intake Agent,Parse ticket,Refund request for damaged product,Escalated to Engineering for deep analysis,0.764,Route to specialist,No,No,No,2024-06-06 20:19:25,3329,Escalated
WF-700321,TKT-101831,Intake Agent,Extract info,Customer reports connectivity issues affecting production,Initiated security incident response,0.895,Send template response,No,No,No,2024-06-11 01:52:01,172,Completed
WF-700322,TKT-101313,Supervisor Agent,Quality check,Refund request for damaged product,Sent password reset instructions,0.575,Send template response,No,Yes,No,2024-01-25 17:42:20,4461,Failed
WF-700323,TKT-101398,Automation Agent,Execute action,API integration timeout errors,Referred to Billing specialist for investigation,0.922,Schedule callback,Partial,Yes,No,2024-05-04 03:05:38,1233,Escalated
WF-700324,TKT-100260,Categorization Agent,Analyze category,Customer reports connectivity issues affecting production,Initiated security incident response,0.967,Wait for customer,Partial,No,No,2024-01-25 08:50:22,2629,Completed
WF-700325,TKT-101089,Supervisor Agent,Review output,New feature request for dashboard export,Sent password reset instructions,0.972,Request more info,No,No,No,2024-05-20 20:37:50,4323,Completed
WF-700326,TKT-101792,Intake Agent,Parse ticket,Refund request for damaged product,Offered firmware rollback or upgrade path,0.748,Auto-resolve from KB,No,No,No,2024-04-02 21:37:46,2594,In Progress
WF-700327,TKT-101216,Intake Agent,Extract info,Firmware update installation failed,Routed to Network Operations team,0.804,Escalate to manager,No,Yes,No,2024-05-09 15:27:57,2053,Completed
WF-700328,TKT-100479,Automation Agent,Execute action,Customer reports connectivity issues affecting production,Provided authentication troubleshooting steps,0.987,Archive ticket,Yes,Yes,No,2024-05-16 08:16:34,556,Completed
WF-700329,TKT-101876,Automation Agent,Update records,Firmware update installation failed,Offered firmware rollback or upgrade path,0.537,Request more info,No,Yes,No,2024-03-20 06:28:11,3665,Completed
WF-700330,TKT-101794,Categorization Agent,Route decision,Database performance degradation,Logged feature request in product backlog,0.803,Send template response,No,No,No,2024-02-21 19:07:08,2248,In Progress
WF-700331,TKT-101942,Automation Agent,Send notification,VPN client authentication failure,Processed refund request and return label,0.806,Archive ticket,No,No,No,2024-04-25 15:50:22,3402,In Progress
WF-700332,TKT-101928,Supervisor Agent,Escalation decision,API integration timeout errors,Processed refund request and return label,0.72,Send template response,No,No,No,2024-03-26 19:14:12,2239,Completed
WF-700333,TKT-101545,Automation Agent,Update records,New feature request for dashboard export,Logged feature request in product backlog,0.505,Create known issue,No,Yes,No,2024-05-28 06:26:17,2393,In Progress
WF-700334,TKT-100295,Supervisor Agent,Review output,Database performance degradation,Processed refund request and return label,0.834,Send template response,No,No,No,2024-03-22 13:04:36,1000,Completed
WF-700335,TKT-100497,Resolution Agent,Search KB,API integration timeout errors,Referred to Billing specialist for investigation,0.97,Wait for customer,No,Yes,No,2024-05-18 01:19:58,3142,Completed
WF-700336,TKT-101483,Categorization Agent,Analyze category,Security alert for suspicious login attempts,Processed refund request and return label,0.745,Auto-resolve from KB,No,Yes,No,2024-02-03 10:24:47,4824,Completed
WF-700337,TKT-101559,Automation Agent,Send notification,Database performance degradation,Logged feature request in product backlog,0.861,Wait for customer,No,No,No,2024-06-14 15:21:56,3904,Completed
WF-700338,TKT-100620,Intake Agent,Parse ticket,New feature request for dashboard export,Referred to Billing specialist for investigation,0.969,Wait for customer,Yes,Yes,No,2024-06-17 17:57:21,116,In Progress
WF-700339,TKT-101441,Categorization Agent,Assess priority,New feature request for dashboard export,Recommended database optimization,0.714,Request more info,No,Yes,No,2024-01-21 07:56:42,341,Completed
WF-700340,TKT-101092,Resolution Agent,Generate solution,Security alert for suspicious login attempts,Escalated to Engineering for deep analysis,0.721,Archive ticket,No,Yes,No,2024-03-09 08:21:51,4026,Completed
WF-700341,TKT-101644,Supervisor Agent,Quality check,New feature request for dashboard export,Escalated to Engineering for deep analysis,0.984,Request more info,No,No,No,2024-03-27 17:38:50,1131,Completed
WF-700342,TKT-100453,Categorization Agent,Analyze category,Security alert for suspicious login attempts,Recommended database optimization,0.823,Send template response,Partial,No,No,2024-05-27 12:27:37,2811,Completed
WF-700343,TKT-100471,Supervisor Agent,Escalation decision,New feature request for dashboard export,Sent password reset instructions,0.726,Archive ticket,Partial,No,No,2024-05-14 17:47:07,4631,In Progress
WF-700344,TKT-100527,Supervisor Agent,Escalation decision,Password reset request for shared account,Sent password reset instructions,0.674,Schedule callback,No,Yes,No,2024-04-05 21:11:35,872,In Progress
WF-700345,TKT-100721,Categorization Agent,Analyze category,Database performance degradation,Sent password reset instructions,0.63,Schedule callback,Yes,Yes,No,2024-05-15 09:45:44,3391,Escalated
WF-700346,TKT-101110,Intake Agent,Validate format,Customer reports connectivity issues affecting production,Referred to Billing specialist for investigation,0.687,Auto-resolve from KB,No,Yes,No,2024-03-08 07:16:29,3732,Completed
WF-700347,TKT-100844,Categorization Agent,Route decision,New feature request for dashboard export,Referred to Billing specialist for investigation,0.534,Schedule callback,Partial,Yes,Yes,2024-04-23 13:00:57,4314,Completed
WF-700348,TKT-101035,Supervisor Agent,Quality check,Customer reports connectivity issues affecting production,Offered firmware rollback or upgrade path,0.891,Wait for customer,No,No,Yes,2024-06-08 19:18:39,869,In Progress
WF-700349,TKT-101089,Automation Agent,Update records,Customer reports connectivity issues affecting production,Routed to Network Operations team,0.898,Archive ticket,No,Yes,No,2024-01-17 16:11:19,622,Completed
WF-700350,TKT-100587,Intake Agent,Validate format,Refund request for damaged product,Provided authentication troubleshooting steps,0.793,Route to specialist,Yes,Yes,No,2024-05-03 13:39:05,4683,Completed
WF-700351,TKT-100493,Categorization Agent,Route decision,Database performance degradation,Initiated security incident response,0.8,Request more info,Partial,No,No,2024-06-20 18:02:26,2561,Escalated
WF-700352,TKT-100764,Supervisor Agent,Quality check,Firmware update installation failed,Logged feature request in product backlog,0.935,Escalate to manager,No,No,No,2024-04-28 21:11:12,4166,In Progress
WF-700353,TKT-100165,Intake Agent,Parse ticket,Refund request for damaged product,Processed refund request and return label,0.627,Send template response,No,Yes,No,2024-05-28 04:26:37,2296,In Progress
WF-700354,TKT-100114,Intake Agent,Validate format,VPN client authentication failure,Referred to Billing specialist for investigation,0.913,Wait for customer,No,Yes,No,2024-03-26 16:06:45,746,Completed
WF-700355,TKT-100678,Automation Agent,Execute action,Database performance degradation,Routed to Network Operations team,0.982,Escalate to manager,Partial,No,No,2024-01-02 17:47:08,3968,In Progress
WF-700356,TKT-101817,Automation Agent,Update records,Security alert for suspicious login attempts,Routed to Network Operations team,0.836,Route to specialist,Yes,No,No,2024-05-30 05:42:47,3778,Completed
WF-700357,TKT-101112,Automation Agent,Send notification,Customer reports connectivity issues affecting production,Provided authentication troubleshooting steps,0.668,Request more info,No,Yes,Yes,2024-01-03 02:28:14,2568,Completed
WF-700358,TKT-100424,Automation Agent,Execute action,Refund request for damaged product,Referred to Billing specialist for investigation,0.552,Create known issue,No,Yes,No,2024-04-20 11:28:41,1404,In Progress
WF-700359,TKT-100492,Automation Agent,Update records,Database performance degradation,Escalated to Engineering for deep analysis,0.773,Send template response,Partial,Yes,No,2024-05-11 17:29:06,1384,Escalated
WF-700360,TKT-101411,Intake Agent,Validate format,API integration timeout errors,Routed to Network Operations team,0.697,Route to specialist,Partial,Yes,No,2024-05-28 10:12:15,3662,Completed
WF-700361,TKT-101717,Intake Agent,Extract info,Firmware update installation failed,Offered firmware rollback or upgrade path,0.899,Send template response,No,Yes,No,2024-01-13 23:34:59,3237,Completed
WF-700362,TKT-101298,Resolution Agent,Generate solution,Password reset request for shared account,Logged feature request in product backlog,0.503,Request more info,No,Yes,No,2024-01-14 03:52:24,2713,Failed
WF-700363,TKT-100768,Supervisor Agent,Review output,Firmware update installation failed,Processed refund request and return label,0.969,Route to specialist,No,Yes,No,2024-03-10 03:21:27,2734,In Progress
WF-700364,TKT-100504,Intake Agent,Parse ticket,Security alert for suspicious login attempts,Provided authentication troubleshooting steps,0.746,Send template response,Yes,Yes,No,2024-05-17 18:29:09,1504,In Progress
WF-700365,TKT-101514,Supervisor Agent,Quality check,API integration timeout errors,Referred to Billing specialist for investigation,0.791,Route to specialist,No,No,No,2024-02-07 17:53:49,2123,Completed
WF-700366,TKT-100737,Resolution Agent,Search KB,VPN client authentication failure,Referred to Billing specialist for investigation,0.674,Schedule callback,No,Yes,No,2024-01-04 10:01:00,2420,Completed
WF-700367,TKT-101140,Automation Agent,Send notification,Refund request for damaged product,Referred to Billing specialist for investigation,0.815,Auto-resolve from KB,Yes,No,No,2024-05-11 10:12:07,4531,Completed
WF-700368,TKT-101222,Automation Agent,Update records,Refund request for damaged product,Routed to Network Operations team,0.796,Create known issue,No,No,No,2024-02-29 19:08:46,693,In Progress
WF-700369,TKT-101484,Automation Agent,Execute action,Firmware update installation failed,Recommended database optimization,0.538,Schedule callback,Yes,Yes,No,2024-02-27 10:31:01,1232,In Progress
WF-700370,TKT-100347,Categorization Agent,Assess priority,Security alert for suspicious login attempts,Initiated security incident response,0.603,Wait for customer,Partial,Yes,No,2024-04-03 08:00:54,2166,Completed
WF-700371,TKT-100342,Supervisor Agent,Quality check,Refund request for damaged product,Initiated security incident response,0.86,Wait for customer,No,Yes,No,2024-02-16 04:29:44,930,Completed
WF-700372,TKT-101933,Categorization Agent,Route decision,Password reset request for shared account,Offered firmware rollback or upgrade path,0.957,Escalate to manager,No,No,No,2024-05-27 08:27:27,2548,In Progress
WF-700373,TKT-100013,Supervisor Agent,Quality check,Firmware update installation failed,Processed refund request and return label,0.587,Request more info,No,Yes,No,2024-04-12 04:01:12,2225,In Progress
WF-700374,TKT-100881,Automation Agent,Execute action,Security alert for suspicious login attempts,Escalated to Engineering for deep analysis,0.966,Escalate to manager,No,No,No,2024-02-19 13:00:50,599,Completed
WF-700375,TKT-100815,Resolution Agent,Generate solution,Password reset request for shared account,Offered firmware rollback or upgrade path,0.513,Escalate to manager,Yes,Yes,No,2024-04-18 23:28:50,2857,Completed
WF-700376,TKT-100574,Supervisor Agent,Quality check,"Billing dispute for $4,500 invoice",Offered firmware rollback or upgrade path,0.961,Escalate to manager,No,No,No,2024-06-13 11:56:03,4776,Failed
WF-700377,TKT-101396,Automation Agent,Execute action,Password reset request for shared account,Logged feature request in product backlog,0.893,Wait for customer,No,Yes,No,2024-01-04 08:08:29,2503,Completed
WF-700378,TKT-100141,Supervisor Agent,Escalation decision,Password reset request for shared account,Provided authentication troubleshooting steps,0.857,Create known issue,No,No,No,2024-04-09 11:53:41,4836,In Progress
WF-700379,TKT-101464,Supervisor Agent,Quality check,"Billing dispute for $4,500 invoice",Sent password reset instructions,0.528,Wait for customer,No,Yes,No,2024-03-24 03:52:55,4383,Completed
WF-700380,TKT-101094,Automation Agent,Send notification,Refund request for damaged product,Recommended database optimization,0.731,Auto-resolve from KB,Yes,Yes,No,2024-06-06 02:39:17,1531,Completed
WF-700381,TKT-101833,Automation Agent,Send notification,"Billing dispute for $4,500 invoice",Referred to Billing specialist for investigation,0.628,Escalate to manager,No,Yes,No,2024-05-17 09:03:11,3391,In Progress
WF-700382,TKT-100727,Categorization Agent,Route decision,Firmware update installation failed,Routed to Network Operations team,0.682,Send template response,No,Yes,No,2024-03-13 01:29:07,304,Completed
WF-700383,TKT-100679,Supervisor Agent,Review output,Customer reports connectivity issues affecting production,Referred to Billing specialist for investigation,0.516,Create known issue,Yes,Yes,No,2024-01-21 13:08:19,2397,Completed
WF-700384,TKT-101529,Automation Agent,Send notification,Firmware update installation failed,Offered firmware rollback or upgrade path,0.654,Escalate to manager,No,Yes,No,2024-06-08 02:12:07,3241,Escalated
WF-700385,TKT-100801,Supervisor Agent,Escalation decision,Firmware update installation failed,Recommended database optimization,0.769,Schedule callback,Yes,No,Yes,2024-06-18 21:31:05,1043,Escalated
WF-700386,TKT-100214,Resolution Agent,Generate solution,"Billing dispute for $4,500 invoice",Referred to Billing specialist for investigation,0.705,Schedule callback,No,No,No,2024-03-22 07:50:28,4360,Pending
WF-700387,TKT-101606,Categorization Agent,Route decision,Password reset request for shared account,Escalated to Engineering for deep analysis,0.821,Wait for customer,No,No,No,2024-03-29 17:18:12,2452,Completed
WF-700388,TKT-100926,Resolution Agent,Search KB,Security alert for suspicious login attempts,Routed to Network Operations team,0.798,Route to specialist,No,No,No,2024-04-26 06:44:19,524,Completed
WF-700389,TKT-100223,Categorization Agent,Route decision,New feature request for dashboard export,Recommended database optimization,0.705,Schedule callback,Yes,No,No,2024-03-21 20:56:55,697,Completed
WF-700390,TKT-100873,Supervisor Agent,Review output,Refund request for damaged product,Provided authentication troubleshooting steps,0.556,Schedule callback,Partial,Yes,No,2024-03-26 12:33:52,2190,Completed
WF-700391,TKT-100885,Supervisor Agent,Review output,Firmware update installation failed,Logged feature request in product backlog,0.766,Wait for customer,Yes,No,No,2024-03-14 03:39:00,4393,Failed
WF-700392,TKT-101443,Categorization Agent,Analyze category,Security alert for suspicious login attempts,Referred to Billing specialist for investigation,0.569,Route to specialist,No,Yes,No,2024-05-23 21:44:18,3237,Completed
WF-700393,TKT-101099,Categorization Agent,Assess priority,API integration timeout errors,Logged feature request in product backlog,0.819,Wait for customer,No,No,No,2024-02-07 08:30:51,443,In Progress
WF-700394,TKT-101002,Automation Agent,Send notification,API integration timeout errors,Offered firmware rollback or upgrade path,0.674,Send template response,Partial,Yes,No,2024-02-01 17:44:38,2390,In Progress
WF-700395,TKT-101202,Intake Agent,Extract info,API integration timeout errors,Sent password reset instructions,0.927,Schedule callback,No,Yes,No,2024-05-22 20:00:55,1191,In Progress
WF-700396,TKT-100609,Automation Agent,Send notification,"Billing dispute for $4,500 invoice",Provided authentication troubleshooting steps,0.562,Request more info,No,Yes,No,2024-06-03 15:45:00,2775,Escalated
WF-700397,TKT-100625,Intake Agent,Parse ticket,API integration timeout errors,Provided authentication troubleshooting steps,0.721,Archive ticket,Partial,No,No,2024-05-10 11:55:51,4642,Completed
WF-700398,TKT-101177,Supervisor Agent,Quality check,VPN client authentication failure,Sent password reset instructions,0.638,Archive ticket,No,Yes,No,2024-06-28 07:19:50,2374,Completed
WF-700399,TKT-101321,Categorization Agent,Route decision,VPN client authentication failure,Sent password reset instructions,0.903,Create known issue,No,No,No,2024-01-12 16:56:41,4502,Completed
WF-700400,TKT-100923,Automation Agent,Execute action,API integration timeout errors,Routed to Network Operations team,0.546,Wait for customer,No,Yes,No,2024-03-12 01:51:50,2311,Completed
WF-700401,TKT-101669,Supervisor Agent,Escalation decision,Database performance degradation,Sent password reset instructions,0.815,Send template response,No,No,No,2024-02-11 01:56:11,2385,Completed
WF-700402,TKT-101720,Supervisor Agent,Quality check,VPN client authentication failure,Referred to Billing specialist for investigation,0.841,Auto-resolve from KB,No,Yes,No,2024-04-18 18:16:34,2922,In Progress
WF-700403,TKT-100066,Resolution Agent,Search KB,Database performance degradation,Initiated security incident response,0.94,Schedule callback,No,Yes,No,2024-01-08 09:16:20,3076,Completed
WF-700404,TKT-101582,Supervisor Agent,Escalation decision,Database performance degradation,Referred to Billing specialist for investigation,0.859,Route to specialist,Partial,No,No,2024-04-19 01:38:26,712,Completed
WF-700405,TKT-100751,Automation Agent,Execute action,Password reset request for shared account,Recommended database optimization,0.932,Escalate to manager,Partial,Yes,No,2024-03-03 08:50:52,4058,Pending
WF-700406,TKT-101699,Categorization Agent,Assess priority,Customer reports connectivity issues affecting production,Sent password reset instructions,0.982,Create known issue,No,No,No,2024-06-04 00:18:45,4464,Completed
WF-700407,TKT-100899,Intake Agent,Parse ticket,New feature request for dashboard export,Offered firmware rollback or upgrade path,0.98,Request more info,No,Yes,No,2024-01-25 15:23:46,3811,Completed
WF-700408,TKT-100876,Categorization Agent,Route decision,VPN client authentication failure,Logged feature request in product backlog,0.758,Escalate to manager,No,Yes,No,2024-01-09 02:39:47,3169,In Progress
WF-700409,TKT-101090,Resolution Agent,Format response,Database performance degradation,Provided authentication troubleshooting steps,0.95,Request more info,Yes,Yes,No,2024-05-10 00:09:47,3090,In Progress
WF-700410,TKT-101172,Resolution Agent,Format response,"Billing dispute for $4,500 invoice",Provided authentication troubleshooting steps,0.664,Send template response,No,Yes,No,2024-06-09 07:05:56,3448,Completed
WF-700411,TKT-100567,Categorization Agent,Route decision,VPN client authentication failure,Logged feature request in product backlog,0.706,Schedule callback,Partial,Yes,No,2024-01-23 21:22:55,4533,In Progress
WF-700412,TKT-101559,Supervisor Agent,Quality check,VPN client authentication failure,Offered firmware rollback or upgrade path,0.783,Create known issue,No,No,No,2024-03-31 20:44:18,1774,Failed
WF-700413,TKT-100154,Intake Agent,Extract info,Database performance degradation,Initiated security incident response,0.515,Request more info,No,Yes,No,2024-06-04 18:44:54,1189,Completed
WF-700414,TKT-100999,Resolution Agent,Format response,Customer reports connectivity issues affecting production,Referred to Billing specialist for investigation,0.582,Wait for customer,No,Yes,No,2024-03-07 17:34:38,3930,Completed
WF-700415,TKT-101428,Resolution Agent,Search KB,Database performance degradation,Processed refund request and return label,0.65,Escalate to manager,No,Yes,No,2024-02-15 02:16:19,1436,Completed
WF-700416,TKT-101689,Categorization Agent,Assess priority,Security alert for suspicious login attempts,Escalated to Engineering for deep analysis,0.96,Create known issue,Partial,No,No,2024-03-17 15:42:06,4746,Failed
WF-700417,TKT-101159,Supervisor Agent,Quality check,Customer reports connectivity issues affecting production,Routed to Network Operations team,0.628,Route to specialist,Partial,Yes,No,2024-04-07 04:13:43,2554,Completed
WF-700418,TKT-101713,Supervisor Agent,Review output,"Billing dispute for $4,500 invoice",Provided authentication troubleshooting steps,0.686,Wait for customer,No,Yes,No,2024-02-04 12:58:58,4696,Completed
WF-700419,TKT-101962,Supervisor Agent,Review output,VPN client authentication failure,Initiated security incident response,0.979,Schedule callback,Yes,Yes,No,2024-06-16 06:29:43,695,Completed
WF-700420,TKT-100191,Resolution Agent,Generate solution,"Billing dispute for $4,500 invoice",Escalated to Engineering for deep analysis,0.513,Schedule callback,Partial,Yes,No,2024-03-23 04:14:42,4857,Escalated
WF-700421,TKT-101281,Resolution Agent,Format response,New feature request for dashboard export,Processed refund request and return label,0.905,Route to specialist,No,Yes,Yes,2024-03-11 07:52:45,2431,Completed
WF-700422,TKT-100976,Intake Agent,Parse ticket,Firmware update installation failed,Logged feature request in product backlog,0.856,Archive ticket,No,No,Yes,2024-06-23 15:38:27,4828,Completed
WF-700423,TKT-101424,Resolution Agent,Search KB,Refund request for damaged product,Provided authentication troubleshooting steps,0.555,Wait for customer,No,Yes,No,2024-01-30 13:43:36,2823,Completed
WF-700424,TKT-100784,Intake Agent,Validate format,"Billing dispute for $4,500 invoice",Referred to Billing specialist for investigation,0.506,Request more info,No,Yes,No,2024-03-18 19:49:23,1862,Completed
WF-700425,TKT-100612,Categorization Agent,Assess priority,VPN client authentication failure,Provided authentication troubleshooting steps,0.532,Route to specialist,Partial,Yes,No,2024-01-16 09:48:12,4108,Pending
WF-700426,TKT-100017,Automation Agent,Send notification,VPN client authentication failure,Sent password reset instructions,0.911,Request more info,No,Yes,No,2024-03-04 08:06:05,2415,Completed
WF-700427,TKT-100310,Supervisor Agent,Escalation decision,Password reset request for shared account,Logged feature request in product backlog,0.919,Route to specialist,No,Yes,No,2024-04-10 11:55:46,1448,Completed
WF-700428,TKT-100252,Automation Agent,Send notification,Refund request for damaged product,Escalated to Engineering for deep analysis,0.739,Send template response,No,No,No,2024-02-04 02:32:48,3616,Completed
WF-700429,TKT-100567,Intake Agent,Parse ticket,Database performance degradation,Offered firmware rollback or upgrade path,0.532,Create known issue,Partial,Yes,No,2024-03-16 01:49:41,442,Completed
WF-700430,TKT-101414,Intake Agent,Validate format,Security alert for suspicious login attempts,Logged feature request in product backlog,0.713,Archive ticket,No,No,No,2024-02-21 22:52:05,1996,Completed
WF-700431,TKT-100802,Resolution Agent,Format response,Customer reports connectivity issues affecting production,Logged feature request in product backlog,0.797,Wait for customer,No,No,No,2024-05-11 05:03:50,4700,In Progress
WF-700432,TKT-101306,Automation Agent,Execute action,Database performance degradation,Routed to Network Operations team,0.751,Request more info,Yes,Yes,No,2024-06-10 03:06:30,678,In Progress
WF-700433,TKT-101762,Automation Agent,Update records,API integration timeout errors,Recommended database optimization,0.982,Schedule callback,No,Yes,No,2024-06-01 07:21:52,4105,Completed
WF-700434,TKT-101577,Intake Agent,Parse ticket,Firmware update installation failed,Referred to Billing specialist for investigation,0.519,Auto-resolve from KB,No,Yes,No,2024-05-03 08:03:53,4478,Completed
WF-700435,TKT-100081,Intake Agent,Extract info,Database performance degradation,Initiated security incident response,0.976,Archive ticket,No,Yes,No,2024-05-21 01:30:10,2900,In Progress
WF-700436,TKT-100823,Intake Agent,Validate format,Database performance degradation,Recommended database optimization,0.719,Schedule callback,No,No,No,2024-02-15 16:15:57,4896,Completed
WF-700437,TKT-101047,Categorization Agent,Analyze category,Database performance degradation,Escalated to Engineering for deep analysis,0.908,Send template response,Partial,No,No,2024-06-25 04:44:47,4797,Completed
WF-700438,TKT-101330,Intake Agent,Extract info,Refund request for damaged product,Logged feature request in product backlog,0.751,Auto-resolve from KB,No,No,No,2024-03-28 19:34:08,2529,Completed
WF-700439,TKT-100237,Supervisor Agent,Escalation decision,Firmware update installation failed,Routed to Network Operations team,0.802,Create known issue,Yes,No,No,2024-02-10 06:07:34,2966,Escalated
WF-700440,TKT-100359,Intake Agent,Parse ticket,VPN client authentication failure,Routed to Network Operations team,0.742,Schedule callback,No,No,No,2024-02-14 17:04:00,1456,Escalated
WF-700441,TKT-101059,Resolution Agent,Search KB,API integration timeout errors,Provided authentication troubleshooting steps,0.691,Create known issue,No,Yes,No,2024-04-18 20:02:04,4779,Escalated
WF-700442,TKT-100241,Intake Agent,Extract info,Refund request for damaged product,Initiated security incident response,0.652,Archive ticket,Partial,Yes,No,2024-01-08 21:51:22,1087,Failed
WF-700443,TKT-101458,Automation Agent,Send notification,"Billing dispute for $4,500 invoice",Sent password reset instructions,0.501,Wait for customer,No,Yes,No,2024-03-24 06:29:37,826,Completed
WF-700444,TKT-100113,Supervisor Agent,Escalation decision,VPN client authentication failure,Escalated to Engineering for deep analysis,0.626,Schedule callback,No,Yes,No,2024-03-22 09:35:42,3844,Completed
WF-700445,TKT-100210,Automation Agent,Send notification,"Billing dispute for $4,500 invoice",Logged feature request in product backlog,0.705,Archive ticket,No,No,No,2024-05-22 03:59:36,3908,Completed
WF-700446,TKT-100025,Categorization Agent,Analyze category,Password reset request for shared account,Escalated to Engineering for deep analysis,0.961,Send template response,No,Yes,No,2024-02-20 02:47:38,4300,In Progress
WF-700447,TKT-101966,Intake Agent,Validate format,Refund request for damaged product,Logged feature request in product backlog,0.793,Request more info,No,No,No,2024-04-30 12:56:59,4758,Escalated
WF-700448,TKT-100655,Resolution Agent,Search KB,Firmware update installation failed,Escalated to Engineering for deep analysis,0.584,Route to specialist,No,Yes,No,2024-06-14 09:12:34,4824,Escalated
WF-700449,TKT-101847,Intake Agent,Parse ticket,New feature request for dashboard export,Recommended database optimization,0.762,Auto-resolve from KB,Yes,Yes,No,2024-06-11 00:38:02,4108,Completed
WF-700450,TKT-100952,Resolution Agent,Generate solution,API integration timeout errors,Referred to Billing specialist for investigation,0.738,Archive ticket,No,No,No,2024-05-06 20:16:22,1336,Failed
WF-700451,TKT-100597,Automation Agent,Update records,Firmware update installation failed,Logged feature request in product backlog,0.9,Wait for customer,Yes,No,No,2024-05-25 10:04:28,2424,In Progress
WF-700452,TKT-101582,Categorization Agent,Route decision,Database performance degradation,Logged feature request in product backlog,0.635,Schedule callback,No,Yes,Yes,2024-04-17 11:54:09,3805,Completed
WF-700453,TKT-100839,Intake Agent,Parse ticket,Database performance degradation,Escalated to Engineering for deep analysis,0.688,Auto-resolve from KB,No,Yes,No,2024-03-03 22:51:19,3343,Escalated
WF-700454,TKT-100002,Supervisor Agent,Escalation decision,Security alert for suspicious login attempts,Referred to Billing specialist for investigation,0.936,Escalate to manager,Yes,No,No,2024-06-09 12:42:14,1241,In Progress
WF-700455,TKT-101007,Intake Agent,Parse ticket,Security alert for suspicious login attempts,Referred to Billing specialist for investigation,0.751,Auto-resolve from KB,No,Yes,No,2024-02-25 05:55:12,106,Completed
WF-700456,TKT-101064,Supervisor Agent,Escalation decision,API integration timeout errors,Sent password reset instructions,0.669,Route to specialist,No,Yes,No,2024-06-11 12:13:34,3373,In Progress
WF-700457,TKT-101035,Categorization Agent,Route decision,Refund request for damaged product,Referred to Billing specialist for investigation,0.535,Auto-resolve from KB,No,Yes,No,2024-03-09 22:00:39,3028,In Progress
WF-700458,TKT-101974,Categorization Agent,Analyze category,Security alert for suspicious login attempts,Initiated security incident response,0.679,Request more info,No,Yes,No,2024-01-31 13:28:35,3375,Completed
WF-700459,TKT-100804,Resolution Agent,Generate solution,Password reset request for shared account,Initiated security incident response,0.582,Escalate to manager,Partial,Yes,No,2024-03-07 19:29:48,1499,Pending
WF-700460,TKT-100415,Categorization Agent,Route decision,"Billing dispute for $4,500 invoice",Provided authentication troubleshooting steps,0.688,Route to specialist,Yes,Yes,No,2024-02-20 07:20:17,4558,Completed
WF-700461,TKT-100954,Resolution Agent,Generate solution,"Billing dispute for $4,500 invoice",Recommended database optimization,0.653,Request more info,Yes,Yes,No,2024-05-01 23:21:32,4440,Completed
WF-700462,TKT-100425,Supervisor Agent,Quality check,Password reset request for shared account,Initiated security incident response,0.681,Route to specialist,No,Yes,No,2024-01-18 19:54:35,3258,Completed
WF-700463,TKT-101653,Resolution Agent,Format response,Firmware update installation failed,Routed to Network Operations team,0.767,Escalate to manager,Yes,Yes,No,2024-05-24 16:31:40,4254,Pending
WF-700464,TKT-100186,Categorization Agent,Assess priority,Refund request for damaged product,Recommended database optimization,0.976,Auto-resolve from KB,No,No,No,2024-02-18 00:32:12,3240,Completed
WF-700465,TKT-100356,Intake Agent,Extract info,Password reset request for shared account,Recommended database optimization,0.765,Archive ticket,No,No,No,2024-02-11 02:39:29,2490,Completed
WF-700466,TKT-101646,Categorization Agent,Analyze category,Customer reports connectivity issues affecting production,Routed to Network Operations team,0.627,Escalate to manager,No,Yes,No,2024-01-21 20:33:47,440,Completed
WF-700467,TKT-101686,Supervisor Agent,Quality check,"Billing dispute for $4,500 invoice",Offered firmware rollback or upgrade path,0.907,Create known issue,No,Yes,No,2024-01-24 22:38:52,3556,Completed
WF-700468,TKT-100132,Categorization Agent,Route decision,Password reset request for shared account,Provided authentication troubleshooting steps,0.718,Route to specialist,No,Yes,No,2024-01-17 23:38:10,2286,Completed
WF-700469,TKT-100679,Intake Agent,Parse ticket,Password reset request for shared account,Routed to Network Operations team,0.931,Schedule callback,No,Yes,No,2024-06-13 16:12:22,3835,In Progress
WF-700470,TKT-101483,Supervisor Agent,Quality check,Customer reports connectivity issues affecting production,Processed refund request and return label,0.694,Send template response,Yes,Yes,No,2024-04-27 21:02:54,756,In Progress
WF-700471,TKT-100439,Categorization Agent,Assess priority,Security alert for suspicious login attempts,Sent password reset instructions,0.972,Schedule callback,Partial,No,No,2024-02-16 05:26:35,366,Completed
WF-700472,TKT-100503,Resolution Agent,Generate solution,Refund request for damaged product,Recommended database optimization,0.519,Wait for customer,No,Yes,No,2024-01-20 18:44:56,1610,Completed
WF-700473,TKT-100572,Supervisor Agent,Review output,Refund request for damaged product,Logged feature request in product backlog,0.93,Archive ticket,Partial,No,No,2024-02-17 16:40:11,982,Completed
WF-700474,TKT-101113,Intake Agent,Extract info,API integration timeout errors,Sent password reset instructions,0.737,Archive ticket,Partial,Yes,No,2024-04-11 16:22:34,4890,Completed
WF-700475,TKT-101158,Automation Agent,Update records,Refund request for damaged product,Initiated security incident response,0.6,Schedule callback,No,Yes,Yes,2024-06-27 15:20:20,4594,In Progress
