analysis_id,ticket_id,product_id,uploaded_image_name,damage_detected,damage_type,color_mismatch,missing_component,ocr_detected_text,image_confidence_score,recommended_decision,fraud_risk_score,manual_review_required,analysis_timestamp
IMG-800175,TKT-101944,PROD-1816,product_image_00175.jpg,No,,No,No,Model: NP-5000X,0.977,No Action Needed,0.052,No,2024-01-31 13:13:58
IMG-800176,TKT-101272,PROD-1057,product_image_00176.jpg,Yes,Missing Component,No,No,Serial: SN-2024-001,0.959,Approve Replacement,0.143,No,2024-03-17 09:11:02
IMG-800177,TKT-101155,PROD-1816,product_image_00177.jpg,No,,No,No,WARNING: Do not expose to moisture,0.84,No Action Needed,0.02,No,2024-04-07 03:36:27
IMG-800178,TKT-101570,PROD-1232,product_image_00178.jpg,Yes,Dent,No,No,Serial: SN-2024-001,0.746,Approve Replacement,0.114,Yes,2024-03-03 00:23:55
IMG-800179,TKT-101592,PROD-1057,product_image_00179.jpg,No,,No,No,,0.969,No Action Needed,0.072,No,2024-03-08 13:56:32
IMG-800180,TKT-100221,PROD-1790,product_image_00180.jpg,No,,No,No,WARNING: Do not expose to moisture,0.67,No Action Needed,0.017,Yes,2024-02-19 06:37:01
IMG-800181,TKT-101179,PROD-1652,product_image_00181.jpg,No,,No,No,MFG: 2024-01,0.694,No Action Needed,0.078,Yes,2024-01-07 15:56:12
IMG-800182,TKT-100155,PROD-1790,product_image_00182.jpg,Yes,Missing Component,No,No,WARNING: Do not expose to moisture,0.912,Approve Partial Refund,0.117,No,2024-06-22 03:37:05
IMG-800183,TKT-101741,PROD-1790,product_image_00183.jpg,No,,No,No,,0.706,No Action Needed,0.082,Yes,2024-06-05 04:51:22
IMG-800184,TKT-101630,PROD-1790,product_image_00184.jpg,No,,No,No,,0.873,No Action Needed,0.035,No,2024-03-21 12:20:13
IMG-800185,TKT-100711,PROD-1878,product_image_00185.jpg,No,,No,No,Part Number: PN-88421,0.793,No Action Needed,0.067,No,2024-01-06 17:36:56
IMG-800186,TKT-100141,PROD-1878,product_image_00186.jpg,No,,No,No,Model: NP-5000X,0.896,No Action Needed,0.077,No,2024-06-11 07:20:31
IMG-800187,TKT-101739,PROD-1652,product_image_00187.jpg,No,,No,No,,0.81,No Action Needed,0.059,No,2024-02-29 10:55:41
IMG-800188,TKT-100216,PROD-1652,product_image_00188.jpg,No,,No,No,,0.804,No Action Needed,0.058,No,2024-05-10 17:09:48
IMG-800189,TKT-101301,PROD-1711,product_image_00189.jpg,No,,Yes,No,,0.86,Approve Replacement,0.082,No,2024-06-01 13:17:17
IMG-800190,TKT-100891,PROD-1057,product_image_00190.jpg,Yes,Crack,No,No,,0.796,Approve Replacement,0.128,No,2024-03-03 01:25:09
IMG-800191,TKT-100553,PROD-1790,product_image_00191.jpg,No,,No,No,,0.985,No Action Needed,0.023,No,2024-01-21 07:23:09
IMG-800192,TKT-101102,PROD-1711,product_image_00192.jpg,No,,No,No,Component: Active Directory,0.749,No Action Needed,0.073,Yes,2024-02-02 14:13:15
IMG-800193,TKT-100549,PROD-1232,product_image_00193.jpg,No,,Yes,No,,0.686,Approve Replacement,0.032,Yes,2024-04-30 14:31:09
IMG-800194,TKT-101701,PROD-1522,product_image_00194.jpg,No,,No,No,Max Capacity: 5TB,0.889,No Action Needed,0.06,No,2024-06-08 17:08:01
IMG-800195,TKT-100499,PROD-1711,product_image_00195.jpg,No,,No,No,Made in China,0.769,No Action Needed,0.013,No,2024-04-25 15:49:45
IMG-800196,TKT-100688,PROD-1739,product_image_00196.jpg,No,,No,No,Part Number: PN-88421,0.884,No Action Needed,0.082,No,2024-04-15 02:31:18
IMG-800197,TKT-100372,PROD-1711,product_image_00197.jpg,No,,No,No,WARNING: Do not expose to moisture,0.955,No Action Needed,0.064,No,2024-03-13 07:13:35
IMG-800198,TKT-100697,PROD-1423,product_image_00198.jpg,No,,No,No,,0.863,No Action Needed,0.081,No,2024-04-20 06:53:46
IMG-800199,TKT-101436,PROD-1423,product_image_00199.jpg,No,,No,No,Input: 110-240V,0.853,No Action Needed,0.081,No,2024-05-06 15:40:46
IMG-800200,TKT-101941,PROD-1816,product_image_00200.jpg,No,,No,No,Made in China,0.671,No Action Needed,0.032,Yes,2024-05-20 00:26:00
IMG-800201,TKT-101000,PROD-1878,product_image_00201.jpg,No,,No,No,,0.765,No Action Needed,0.026,No,2024-04-28 00:39:16
IMG-800202,TKT-101414,PROD-1711,product_image_00202.jpg,No,,No,No,Max Capacity: 5TB,0.895,No Action Needed,0.031,No,2024-04-05 00:48:40
IMG-800203,TKT-100917,PROD-1739,product_image_00203.jpg,No,,No,No,MFG: 2024-01,0.725,No Action Needed,0.048,Yes,2024-04-06 08:20:27
IMG-800204,TKT-100828,PROD-1816,product_image_00204.jpg,No,,No,No,Component: Active Directory,0.938,No Action Needed,0.067,No,2024-04-17 10:57:23
IMG-800205,TKT-100755,PROD-1711,product_image_00205.jpg,No,,No,No,Part Number: PN-88421,0.85,No Action Needed,0.013,No,2024-04-07 06:06:55
IMG-800206,TKT-100871,PROD-1878,product_image_00206.jpg,No,,No,No,Max Capacity: 5TB,0.873,No Action Needed,0.099,No,2024-05-04 13:26:04
IMG-800207,TKT-100554,PROD-1423,product_image_00207.jpg,No,,No,No,Serial: SN-2024-001,0.914,No Action Needed,0.046,No,2024-03-27 03:12:41
IMG-800208,TKT-101477,PROD-1816,product_image_00208.jpg,No,,No,No,Input: 110-240V,0.94,No Action Needed,0.054,No,2024-03-02 14:04:37
IMG-800209,TKT-101947,PROD-1057,product_image_00209.jpg,No,,No,No,Max Capacity: 5TB,0.772,No Action Needed,0.063,No,2024-03-10 17:01:12
IMG-800210,TKT-100566,PROD-1790,product_image_00210.jpg,No,,No,No,,0.761,No Action Needed,0.08,No,2024-06-12 03:29:48
IMG-800211,TKT-101074,PROD-1790,product_image_00211.jpg,No,,No,No,Serial: SN-2024-001,0.8,No Action Needed,0.04,No,2024-04-02 21:16:59
IMG-800212,TKT-101705,PROD-1816,product_image_00212.jpg,No,,No,No,Part Number: PN-88421,0.86,No Action Needed,0.074,No,2024-03-04 19:53:55
IMG-800213,TKT-100367,PROD-1423,product_image_00213.jpg,No,,No,No,Input: 110-240V,0.831,No Action Needed,0.08,No,2024-04-29 07:15:55
IMG-800214,TKT-100259,PROD-1423,product_image_00214.jpg,No,,No,No,Model: NP-5000X,0.834,No Action Needed,0.013,No,2024-03-18 22:38:57
IMG-800215,TKT-101133,PROD-1423,product_image_00215.jpg,No,,No,No,Warranty: 12 months,0.868,No Action Needed,0.03,No,2024-02-28 08:17:36
IMG-800216,TKT-101306,PROD-1711,product_image_00216.jpg,No,,Yes,No,Model: NP-5000X,0.985,Approve Replacement,0.097,No,2024-02-12 18:14:21
IMG-800217,TKT-101175,PROD-1423,product_image_00217.jpg,No,,No,No,Max Capacity: 5TB,0.805,No Action Needed,0.056,No,2024-06-26 02:31:50
IMG-800218,TKT-100697,PROD-1057,product_image_00218.jpg,No,,No,Yes,,0.755,Approve Replacement,0.073,No,2024-05-03 01:14:30
IMG-800219,TKT-100517,PROD-1711,product_image_00219.jpg,No,,No,No,Serial: SN-2024-001,0.703,No Action Needed,0.031,Yes,2024-03-26 13:25:20
IMG-800220,TKT-100820,PROD-1711,product_image_00220.jpg,No,,No,No,Model: NP-5000X,0.819,No Action Needed,0.066,No,2024-05-15 18:17:18
IMG-800221,TKT-100310,PROD-1057,product_image_00221.jpg,No,,Yes,No,,0.884,Approve Replacement,0.071,No,2024-05-26 21:58:54
IMG-800222,TKT-101943,PROD-1423,product_image_00222.jpg,No,,No,No,MFG: 2024-01,0.686,No Action Needed,0.069,Yes,2024-03-03 01:35:04
IMG-800223,TKT-100242,PROD-1878,product_image_00223.jpg,No,,No,No,,0.681,No Action Needed,0.036,Yes,2024-03-08 08:06:05
IMG-800224,TKT-101241,PROD-1790,product_image_00224.jpg,No,,No,No,,0.948,No Action Needed,0.039,No,2024-04-18 01:01:52
IMG-800225,TKT-100462,PROD-1878,product_image_00225.jpg,No,,No,Yes,Max Capacity: 5TB,0.76,Approve Replacement,0.043,No,2024-05-22 02:31:48
IMG-800226,TKT-100608,PROD-1790,product_image_00226.jpg,No,,No,No,,0.836,No Action Needed,0.05,No,2024-04-11 17:37:29
IMG-800227,TKT-100625,PROD-1790,product_image_00227.jpg,No,,No,No,Component: Active Directory,0.908,No Action Needed,0.055,No,2024-03-25 01:47:51
IMG-800228,TKT-101966,PROD-1522,product_image_00228.jpg,No,,No,Yes,,0.766,Approve Replacement,0.044,No,2024-02-17 03:12:36
IMG-800229,TKT-100425,PROD-1816,product_image_00229.jpg,No,,No,No,Serial: SN-2024-001,0.837,No Action Needed,0.077,No,2024-04-17 21:51:54
IMG-800230,TKT-100321,PROD-1816,product_image_00230.jpg,No,,No,No,Serial: SN-2024-001,0.955,No Action Needed,0.016,No,2024-05-22 15:34:48
IMG-800231,TKT-100320,PROD-1739,product_image_00231.jpg,No,,No,No,Component: Active Directory,0.813,No Action Needed,0.028,No,2024-03-18 01:40:12
IMG-800232,TKT-100962,PROD-1423,product_image_00232.jpg,No,,No,No,WARNING: Do not expose to moisture,0.966,No Action Needed,0.058,No,2024-05-15 15:11:31
IMG-800233,TKT-101447,PROD-1423,product_image_00233.jpg,No,,No,No,,0.93,No Action Needed,0.057,No,2024-01-07 12:15:39
IMG-800234,TKT-100929,PROD-1522,product_image_00234.jpg,No,,No,No,WARNING: Do not expose to moisture,0.686,No Action Needed,0.061,Yes,2024-02-11 06:50:11
IMG-800235,TKT-101613,PROD-1790,product_image_00235.jpg,No,,No,No,MFG: 2024-01,0.777,No Action Needed,0.057,No,2024-02-16 21:17:46
IMG-800236,TKT-100870,PROD-1522,product_image_00236.jpg,Yes,Crack,No,No,Warranty: 12 months,0.852,Approve Partial Refund,0.165,Yes,2024-05-01 20:56:28
IMG-800237,TKT-101860,PROD-1423,product_image_00237.jpg,No,,No,No,,0.737,No Action Needed,0.037,Yes,2024-05-31 15:30:26
IMG-800238,TKT-100146,PROD-1739,product_image_00238.jpg,No,,No,No,WARNING: Do not expose to moisture,0.911,No Action Needed,0.023,No,2024-03-09 17:49:34
IMG-800239,TKT-101218,PROD-1790,product_image_00239.jpg,No,,No,No,,0.832,No Action Needed,0.026,No,2024-02-06 04:26:54
IMG-800240,TKT-100899,PROD-1522,product_image_00240.jpg,No,,No,No,WARNING: Do not expose to moisture,0.737,No Action Needed,0.067,Yes,2024-06-01 04:55:27
IMG-800241,TKT-101433,PROD-1652,product_image_00241.jpg,No,,No,No,,0.796,No Action Needed,0.075,No,2024-01-24 08:09:31
IMG-800242,TKT-101024,PROD-1878,product_image_00242.jpg,No,,No,No,Serial: SN-2024-001,0.958,No Action Needed,0.08,No,2024-02-05 20:22:59
IMG-800243,TKT-101224,PROD-1739,product_image_00243.jpg,No,,No,No,,0.771,No Action Needed,0.016,No,2024-02-18 17:51:55
IMG-800244,TKT-101504,PROD-1232,product_image_00244.jpg,Yes,Water Damage,No,No,Serial: SN-2024-001,0.834,Approve Partial Refund,0.166,Yes,2024-02-13 12:31:53
IMG-800245,TKT-100468,PROD-1790,product_image_00245.jpg,No,,No,No,Model: NP-5000X,0.875,No Action Needed,0.06,No,2024-04-07 02:41:26
IMG-800246,TKT-101566,PROD-1423,product_image_00246.jpg,No,,Yes,No,Warranty: 12 months,0.976,Approve Replacement,0.026,No,2024-01-31 19:08:30
IMG-800247,TKT-100963,PROD-1878,product_image_00247.jpg,No,,No,No,WARNING: Do not expose to moisture,0.803,No Action Needed,0.078,No,2024-05-24 12:54:39
IMG-800248,TKT-100371,PROD-1790,product_image_00248.jpg,No,,No,No,Max Capacity: 5TB,0.73,No Action Needed,0.046,Yes,2024-04-13 08:08:21
IMG-800249,TKT-101984,PROD-1522,product_image_00249.jpg,No,,No,No,Made in China,0.936,No Action Needed,0.057,No,2024-05-29 15:37:53
IMG-800250,TKT-100682,PROD-1232,product_image_00250.jpg,No,,No,No,Warranty: 12 months,0.822,No Action Needed,0.024,No,2024-05-21 04:29:23
IMG-800251,TKT-100675,PROD-1652,product_image_00251.jpg,No,,No,No,WARNING: Do not expose to moisture,0.68,No Action Needed,0.094,Yes,2024-03-15 10:34:27
IMG-800252,TKT-101356,PROD-1652,product_image_00252.jpg,No,,No,No,,0.705,No Action Needed,0.081,Yes,2024-05-22 01:13:57
IMG-800253,TKT-101126,PROD-1739,product_image_00253.jpg,No,,No,No,Part Number: PN-88421,0.785,No Action Needed,0.059,No,2024-06-21 09:36:34
IMG-800254,TKT-100516,PROD-1232,product_image_00254.jpg,No,,No,No,Made in China,0.698,No Action Needed,0.029,Yes,2024-01-14 20:30:00
IMG-800255,TKT-101771,PROD-1878,product_image_00255.jpg,No,,Yes,No,,0.726,Approve Replacement,0.096,Yes,2024-01-10 01:34:16
IMG-800256,TKT-100002,PROD-1878,product_image_00256.jpg,No,,No,No,Model: NP-5000X,0.856,No Action Needed,0.023,No,2024-03-20 10:28:05
IMG-800257,TKT-100384,PROD-1878,product_image_00257.jpg,No,,No,No,Max Capacity: 5TB,0.931,No Action Needed,0.07,No,2024-05-15 04:49:07
IMG-800258,TKT-101280,PROD-1711,product_image_00258.jpg,No,,No,No,,0.978,No Action Needed,0.049,No,2024-05-20 20:37:50
IMG-800259,TKT-100416,PROD-1423,product_image_00259.jpg,No,,No,No,WARNING: Do not expose to moisture,0.868,No Action Needed,0.029,No,2024-05-09 20:02:26
IMG-800260,TKT-100897,PROD-1711,product_image_00260.jpg,No,,No,No,Component: Active Directory,0.722,No Action Needed,0.054,Yes,2024-06-26 12:52:12
IMG-800261,TKT-101636,PROD-1816,product_image_00261.jpg,No,,No,No,,0.708,No Action Needed,0.017,Yes,2024-06-04 07:49:01
IMG-800262,TKT-100636,PROD-1878,product_image_00262.jpg,Yes,Scratches,No,No,Serial: SN-2024-001,0.823,Approve Partial Refund,0.205,Yes,2024-04-12 09:29:31
IMG-800263,TKT-100460,PROD-1522,product_image_00263.jpg,No,,No,No,Serial: SN-2024-001,0.795,No Action Needed,0.022,No,2024-04-25 15:50:22
IMG-800264,TKT-101326,PROD-1057,product_image_00264.jpg,No,,No,No,WARNING: Do not expose to moisture,0.791,No Action Needed,0.084,No,2024-03-26 19:14:12
IMG-800265,TKT-101042,PROD-1423,product_image_00265.jpg,Yes,Rust,No,No,,0.657,Approve Replacement,0.192,Yes,2024-02-27 01:32:22
IMG-800266,TKT-100967,PROD-1816,product_image_00266.jpg,No,,No,No,Warranty: 12 months,0.864,No Action Needed,0.028,No,2024-06-21 00:11:11
IMG-800267,TKT-100785,PROD-1816,product_image_00267.jpg,No,,No,No,,0.804,No Action Needed,0.086,No,2024-04-26 02:59:09
IMG-800268,TKT-101040,PROD-1057,product_image_00268.jpg,No,,No,No,,0.812,No Action Needed,0.044,No,2024-06-28 08:30:20
IMG-800269,TKT-100565,PROD-1652,product_image_00269.jpg,No,,No,No,Input: 110-240V,0.975,No Action Needed,0.081,No,2024-05-16 17:57:21
IMG-800270,TKT-100547,PROD-1739,product_image_00270.jpg,No,,No,No,WARNING: Do not expose to moisture,0.663,No Action Needed,0.091,Yes,2024-01-21 07:56:42
IMG-800271,TKT-101715,PROD-1790,product_image_00271.jpg,No,,No,No,Max Capacity: 5TB,0.803,No Action Needed,0.089,No,2024-03-09 08:21:51
IMG-800272,TKT-101772,PROD-1057,product_image_00272.jpg,No,,No,Yes,Max Capacity: 5TB,0.663,Approve Replacement,0.077,Yes,2024-05-08 02:09:48
IMG-800273,TKT-100706,PROD-1232,product_image_00273.jpg,No,,No,Yes,Input: 110-240V,0.823,Approve Replacement,0.045,No,2024-06-07 13:25:55
IMG-800274,TKT-100772,PROD-1711,product_image_00274.jpg,No,,No,No,,0.713,No Action Needed,0.026,Yes,2024-01-05 21:11:35
IMG-800275,TKT-101780,PROD-1816,product_image_00275.jpg,No,,Yes,No,,0.979,Approve Replacement,0.037,No,2024-04-13 09:45:44
IMG-800276,TKT-100489,PROD-1790,product_image_00276.jpg,No,,No,No,Made in China,0.859,No Action Needed,0.08,No,2024-06-17 21:40:40
IMG-800277,TKT-100089,PROD-1232,product_image_00277.jpg,No,,Yes,No,,0.922,Approve Replacement,0.036,No,2024-01-02 16:36:05
IMG-800278,TKT-101444,PROD-1652,product_image_00278.jpg,No,,No,No,Warranty: 12 months,0.86,No Action Needed,0.024,No,2024-01-10 12:43:58
IMG-800279,TKT-101014,PROD-1739,product_image_00279.jpg,Yes,Dent,No,No,Component: Active Directory,0.778,Approve Replacement,0.103,No,2024-04-23 21:36:51
IMG-800280,TKT-100679,PROD-1522,product_image_00280.jpg,No,,No,No,,0.952,No Action Needed,0.068,No,2024-05-01 13:32:38
IMG-800281,TKT-100901,PROD-1522,product_image_00281.jpg,No,,No,No,Max Capacity: 5TB,0.866,No Action Needed,0.03,No,2024-05-05 22:09:11
IMG-800282,TKT-100031,PROD-1057,product_image_00282.jpg,No,,No,No,Warranty: 12 months,0.668,No Action Needed,0.039,Yes,2024-05-29 23:57:30
IMG-800283,TKT-100153,PROD-1711,product_image_00283.jpg,No,,No,No,,0.687,No Action Needed,0.072,Yes,2024-06-28 06:54:18
IMG-800284,TKT-100542,PROD-1232,product_image_00284.jpg,No,,No,No,Made in China,0.766,No Action Needed,0.047,No,2024-06-13 18:41:00
IMG-800285,TKT-101330,PROD-1522,product_image_00285.jpg,No,,No,No,,0.702,No Action Needed,0.018,Yes,2024-04-17 02:38:16
IMG-800286,TKT-101745,PROD-1878,product_image_00286.jpg,No,,No,No,Part Number: PN-88421,0.653,No Action Needed,0.032,Yes,2024-01-05 13:47:46
IMG-800287,TKT-101283,PROD-1711,product_image_00287.jpg,No,,No,No,,0.922,No Action Needed,0.028,No,2024-01-10 09:29:56
IMG-800288,TKT-100073,PROD-1790,product_image_00288.jpg,No,,No,No,WARNING: Do not expose to moisture,0.771,No Action Needed,0.081,No,2024-06-12 13:15:01
IMG-800289,TKT-100465,PROD-1522,product_image_00289.jpg,No,,No,No,Serial: SN-2024-001,0.654,No Action Needed,0.077,Yes,2024-04-30 04:16:19
IMG-800290,TKT-101557,PROD-1522,product_image_00290.jpg,No,,No,No,WARNING: Do not expose to moisture,0.948,No Action Needed,0.1,No,2024-05-11 02:39:56
IMG-800291,TKT-101850,PROD-1739,product_image_00291.jpg,No,,No,No,Model: NP-5000X,0.697,No Action Needed,0.07,Yes,2024-02-23 00:33:43
IMG-800292,TKT-100600,PROD-1232,product_image_00292.jpg,No,,Yes,No,Warranty: 12 months,0.712,Approve Replacement,0.045,Yes,2024-01-17 07:42:46
IMG-800293,TKT-100500,PROD-1878,product_image_00293.jpg,No,,No,No,Warranty: 12 months,0.685,No Action Needed,0.03,Yes,2024-05-11 10:12:07
IMG-800294,TKT-100348,PROD-1057,product_image_00294.jpg,No,,No,No,Made in China,0.742,No Action Needed,0.084,Yes,2024-02-18 19:08:46
IMG-800295,TKT-101269,PROD-1816,product_image_00295.jpg,Yes,Paint Chipping,Yes,No,,0.917,Approve Partial Refund,0.199,Yes,2024-01-19 16:02:55
IMG-800296,TKT-100293,PROD-1816,product_image_00296.jpg,No,,No,No,WARNING: Do not expose to moisture,0.73,No Action Needed,0.043,Yes,2024-04-22 23:32:10
IMG-800297,TKT-100941,PROD-1423,product_image_00297.jpg,No,,No,No,Max Capacity: 5TB,0.752,No Action Needed,0.026,No,2024-01-04 13:50:11
IMG-800298,TKT-101845,PROD-1423,product_image_00298.jpg,No,,No,No,Warranty: 12 months,0.936,No Action Needed,0.045,No,2024-05-16 00:57:51
IMG-800299,TKT-100151,PROD-1711,product_image_00299.jpg,No,,No,No,,0.706,No Action Needed,0.073,Yes,2024-04-03 01:46:37
IMG-800300,TKT-101203,PROD-1423,product_image_00300.jpg,No,,No,No,Made in China,0.916,No Action Needed,0.015,No,2024-02-04 19:35:53
IMG-800301,TKT-101413,PROD-1423,product_image_00301.jpg,No,,No,No,WARNING: Do not expose to moisture,0.923,No Action Needed,0.051,No,2024-01-05 07:16:41
IMG-800302,TKT-100407,PROD-1652,product_image_00302.jpg,Yes,Paint Chipping,No,No,Made in China,0.799,Approve Partial Refund,0.194,Yes,2024-06-22 02:05:31
IMG-800303,TKT-101171,PROD-1232,product_image_00303.jpg,No,,No,No,WARNING: Do not expose to moisture,0.975,No Action Needed,0.016,No,2024-04-17 10:24:41
IMG-800304,TKT-100044,PROD-1652,product_image_00304.jpg,No,,No,No,Component: Active Directory,0.958,No Action Needed,0.032,No,2024-03-20 02:43:53
IMG-800305,TKT-101771,PROD-1739,product_image_00305.jpg,No,,No,No,,0.94,No Action Needed,0.014,No,2024-03-22 05:11:21
IMG-800306,TKT-101526,PROD-1711,product_image_00306.jpg,No,,No,No,,0.912,No Action Needed,0.018,No,2024-05-22 03:58:09
IMG-800307,TKT-101849,PROD-1423,product_image_00307.jpg,No,,No,No,,0.95,No Action Needed,0.045,No,2024-06-02 00:42:19
IMG-800308,TKT-100471,PROD-1790,product_image_00308.jpg,No,,No,No,,0.983,No Action Needed,0.023,No,2024-03-27 09:35:21
IMG-800309,TKT-100448,PROD-1816,product_image_00309.jpg,No,,No,No,Warranty: 12 months,0.972,No Action Needed,0.097,No,2024-06-17 01:45:04
IMG-800310,TKT-101286,PROD-1522,product_image_00310.jpg,No,,No,No,,0.939,No Action Needed,0.061,No,2024-03-21 20:56:55
IMG-800311,TKT-101323,PROD-1739,product_image_00311.jpg,Yes,Shattered Glass,No,No,,0.673,Approve Refund,0.18,Yes,2024-01-17 18:39:29
IMG-800312,TKT-100068,PROD-1790,product_image_00312.jpg,Yes,Burn Mark,No,No,,0.706,Approve Partial Refund,0.214,Yes,2024-03-06 18:13:53
IMG-800313,TKT-100184,PROD-1423,product_image_00313.jpg,No,,No,No,Made in China,0.749,No Action Needed,0.081,Yes,2024-02-07 08:30:51
IMG-800314,TKT-100359,PROD-1816,product_image_00314.jpg,No,,No,No,Input: 110-240V,0.819,No Action Needed,0.041,No,2024-01-21 03:33:39
IMG-800315,TKT-101794,PROD-1232,product_image_00315.jpg,No,,No,No,WARNING: Do not expose to moisture,0.656,No Action Needed,0.021,Yes,2024-03-19 05:02:13
IMG-800316,TKT-101700,PROD-1057,product_image_00316.jpg,No,,No,No,Max Capacity: 5TB,0.84,No Action Needed,0.078,No,2024-04-22 08:05:18
IMG-800317,TKT-101981,PROD-1423,product_image_00317.jpg,No,,No,No,,0.746,No Action Needed,0.045,Yes,2024-01-06 17:49:26
IMG-800318,TKT-100693,PROD-1522,product_image_00318.jpg,No,,No,No,Serial: SN-2024-001,0.914,No Action Needed,0.097,No,2024-01-12 16:56:41
IMG-800319,TKT-100288,PROD-1816,product_image_00319.jpg,Yes,Rust,No,No,,0.744,Approve Replacement,0.164,Yes,2024-05-22 18:50:21
IMG-800320,TKT-101647,PROD-1878,product_image_00320.jpg,No,,No,No,Made in China,0.92,No Action Needed,0.039,No,2024-05-10 03:05:16
IMG-800321,TKT-100028,PROD-1423,product_image_00321.jpg,No,,No,No,Max Capacity: 5TB,0.698,No Action Needed,0.028,Yes,2024-01-08 09:16:20
IMG-800322,TKT-100754,PROD-1423,product_image_00322.jpg,No,,No,No,Part Number: PN-88421,0.922,No Action Needed,0.097,No,2024-01-19 00:43:11
IMG-800323,TKT-100221,PROD-1816,product_image_00323.jpg,Yes,Paint Chipping,No,No,Input: 110-240V,0.986,Approve Replacement,0.039,No,2024-06-06 15:41:21
IMG-800324,TKT-100671,PROD-1790,product_image_00324.jpg,No,,No,No,Serial: SN-2024-001,0.705,No Action Needed,0.011,Yes,2024-01-25 15:23:46
IMG-800325,TKT-101301,PROD-1711,product_image_00325.jpg,No,,No,No,,0.677,No Action Needed,0.076,Yes,2024-01-09 02:39:47
IMG-800326,TKT-100618,PROD-1652,product_image_00326.jpg,No,,No,No,Model: NP-5000X,0.986,No Action Needed,0.091,No,2024-04-17 07:21:15
IMG-800327,TKT-101937,PROD-1739,product_image_00327.jpg,No,,No,No,Max Capacity: 5TB,0.949,No Action Needed,0.057,No,2024-01-21 23:49:11
IMG-800328,TKT-100237,PROD-1522,product_image_00328.jpg,Yes,Missing Component,No,No,,0.958,Approve Partial Refund,0.056,No,2024-03-15 23:24:06
IMG-800329,TKT-100277,PROD-1652,product_image_00329.jpg,No,,No,No,Input: 110-240V,0.81,No Action Needed,0.098,No,2024-06-11 21:41:52
IMG-800330,TKT-100858,PROD-1790,product_image_00330.jpg,No,,No,No,,0.883,No Action Needed,0.016,No,2024-06-15 21:10:29
IMG-800331,TKT-100316,PROD-1652,product_image_00331.jpg,No,,No,No,Max Capacity: 5TB,0.745,No Action Needed,0.068,Yes,2024-01-04 17:34:38
IMG-800332,TKT-101260,PROD-1652,product_image_00332.jpg,No,,No,Yes,,0.753,Approve Replacement,0.069,No,2024-05-21 15:21:07
IMG-800333,TKT-100572,PROD-1739,product_image_00333.jpg,No,,No,No,MFG: 2024-01,0.876,No Action Needed,0.033,No,2024-05-13 20:15:54
IMG-800334,TKT-100908,PROD-1711,product_image_00334.jpg,Yes,Missing Component,No,No,,0.779,Approve Replacement,0.102,No,2024-02-04 12:58:58
IMG-800335,TKT-100203,PROD-1232,product_image_00335.jpg,No,,No,No,Part Number: PN-88421,0.664,No Action Needed,0.077,Yes,2024-06-02 09:35:18
IMG-800336,TKT-100124,PROD-1652,product_image_00336.jpg,No,,No,No,Serial: SN-2024-001,0.931,No Action Needed,0.073,No,2024-01-28 01:24:35
IMG-800337,TKT-101943,PROD-1711,product_image_00337.jpg,No,,No,No,MFG: 2024-01,0.864,No Action Needed,0.058,No,2024-01-19 14:29:02
IMG-800338,TKT-101314,PROD-1790,product_image_00338.jpg,No,,No,No,,0.673,No Action Needed,0.034,Yes,2024-01-09 16:35:11
IMG-800339,TKT-100103,PROD-1232,product_image_00339.jpg,No,,No,No,Warranty: 12 months,0.675,No Action Needed,0.03,Yes,2024-03-18 19:49:23
IMG-800340,TKT-101611,PROD-1790,product_image_00340.jpg,Yes,Missing Component,No,No,Input: 110-240V,0.762,Approve Replacement,0.247,Yes,2024-01-16 09:48:12
IMG-800341,TKT-100424,PROD-1790,product_image_00341.jpg,No,,No,No,MFG: 2024-01,0.741,No Action Needed,0.081,Yes,2024-05-28 14:01:40
IMG-800342,TKT-100672,PROD-1057,product_image_00342.jpg,No,,No,No,,0.901,No Action Needed,0.057,No,2024-05-16 12:53:23
IMG-800343,TKT-101220,PROD-1739,product_image_00343.jpg,No,,Yes,No,Warranty: 12 months,0.659,Approve Replacement,0.073,Yes,2024-06-16 01:49:41
IMG-800344,TKT-100266,PROD-1878,product_image_00344.jpg,No,,No,No,Warranty: 12 months,0.953,No Action Needed,0.05,No,2024-01-21 17:12:24
IMG-800345,TKT-100225,PROD-1739,product_image_00345.jpg,No,,No,No,Part Number: PN-88421,0.685,No Action Needed,0.045,Yes,2024-06-21 02:26:10
IMG-800346,TKT-101617,PROD-1816,product_image_00346.jpg,No,,No,No,Model: NP-5000X,0.903,No Action Needed,0.056,No,2024-03-27 23:52:05
IMG-800347,TKT-100356,PROD-1423,product_image_00347.jpg,Yes,Scratches,No,No,Made in China,0.811,Approve Replacement,0.044,No,2024-05-03 08:03:53
IMG-800348,TKT-101077,PROD-1522,product_image_00348.jpg,No,,No,No,,0.717,No Action Needed,0.065,Yes,2024-03-24 19:49:04
IMG-800349,TKT-100975,PROD-1711,product_image_00349.jpg,No,,Yes,Yes,,0.724,Approve Replacement,0.013,Yes,2024-05-03 04:38:44
IMG-800350,TKT-101051,PROD-1790,product_image_00350.jpg,No,,No,No,Input: 110-240V,0.665,No Action Needed,0.035,Yes,2024-03-28 19:34:08
IMG-800351,TKT-100453,PROD-1790,product_image_00351.jpg,No,,No,No,Input: 110-240V,0.823,No Action Needed,0.089,No,2024-05-20 06:10:07
